segments [
  [ 34, 101, 4309, 5409, '1100' ],
  [ 144, 211, 6142.4, 7242.4, '1100' ],
  [ 254, 321, 7975.7, 9075.7, '1100' ],
  [ 393, 460, 10309, 11409, '1100' ],
  [ 518, 585, 12392.3, 13492.3, '1100' ]
]
--- seg 34
32 4275.6   "" waapi=0 nA=2
33 4291.7   "" waapi=0 nA=2
34 4309 R "" waapi=0 nA=2
180 6742.2 R 844.1,1515.0 waapi=0 nA=2
181 6758.1 R 845.5,1518.1 waapi=0 nA=2
182 6775.6 R 846.6,1520.6 waapi=0 nA=2
183 6792.3 R 847.6,1522.7 waapi=0 nA=2
184 6809.1 R 848.3,1524.3 waapi=0 nA=2
185 6825.7 R 848.8,1525.3 waapi=0 nA=2
186 6842.3 R 849.0,1525.8 waapi=0 nA=2
187 6859 R 849.1,1526.0 waapi=0 nA=2
188 6875.7 R 849.0,1525.7 waapi=0 nA=2
189 6892.3 R 848.6,1525.0 waapi=0 nA=2
190 6908.8 R 848.2,1524.0 waapi=0 nA=2
191 6925.7 R 847.5,1522.6 waapi=0 nA=2
192 6942.4 R 846.7,1520.8 waapi=0 nA=2
193 6958.6 R 845.8,1518.8 waapi=0 nA=2
194 6975.6 R 844.8,1516.5 waapi=0 nA=2
195 6992.4 R 843.5,1513.8 waapi=0 nA=2
196 7008.6 R 842.2,1510.8 waapi=0 nA=2
197 7025.7 R 840.8,1507.7 waapi=0 nA=2
198 7042.4 R 839.2,1504.1 waapi=0 nA=2
199 7059 R 837.5,1500.4 waapi=0 nA=2
200 7075.6 R 835.7,1496.5 waapi=0 nA=2
201 7092.3 R 833.8,1492.3 waapi=0 nA=2
202 7109 R 831.8,1488.0 waapi=0 nA=2
203 7125.7 R 829.7,1483.3 waapi=0 nA=2
204 7142.3 R 827.5,1478.5 waapi=0 nA=2
205 7159 R 825.3,1473.6 waapi=0 nA=2
206 7175.3 R 822.9,1468.4 waapi=0 nA=2
207 7192 R 820.5,1463.2 waapi=0 nA=2
208 7209 R 818.0,1457.7 waapi=0 nA=2
209 7225.7 R 815.4,1451.8 waapi=0 nA=2
210 7242.4 R 812.7,1446.0 waapi=0 nA=2
211 7259   810.0,1440.0 waapi=0 nA=2
212 7275.6   810.0,1440.0 waapi=0 nA=2
213 7292.4   810.0,1440.0 waapi=0 nA=2
--- seg 254
252 7942.4   810.0,1440.0 waapi=0 nA=2
253 7959   810.0,1440.0 waapi=0 nA=2
254 7975.7 R 810.0,1440.0 waapi=0 nA=2
255 7992.4 R 810.0,1440.0 waapi=0 nA=2
256 8009 R 851.0,1494.6 waapi=0 nA=2
257 8025.7 R 890.5,1547.3 waapi=0 nA=2
258 8042.4 R 928.8,1598.4 waapi=0 nA=2
259 8059 R 965.5,1647.4 waapi=0 nA=2
260 8075.7 R 1000.2,1693.7 waapi=0 nA=2
261 8092.3 R 1033.2,1737.7 waapi=0 nA=2
262 8108.9 R 1064.1,1778.8 waapi=0 nA=2
263 8125.6 R 1093.0,1817.3 waapi=0 nA=2
264 8141.6 R 1120.0,1853.3 waapi=0 nA=2
265 8159 R 1144.1,1885.5 waapi=0 nA=2
266 8175.7 R 1168.4,1917.9 waapi=0 nA=2
267 8192.4 R 1189.9,1946.5 waapi=0 nA=2
268 8209 R 1209.7,1972.9 waapi=0 nA=2
269 8225.5 R 1227.8,1997.1 waapi=0 nA=2
270 8242.3 R 1244.4,2019.2 waapi=0 nA=2
271 8259 R 1259.9,2039.9 waapi=0 nA=2
272 8275.6 R 1274.1,2058.8 waapi=0 nA=2
273 8292.4 R 1287.0,2076.0 waapi=0 nA=2
274 8309 R 1299.0,2091.9 waapi=0 nA=2
275 8325 R 1309.8,2106.4 waapi=0 nA=2
276 8342.3 R 1319.3,2119.1 waapi=0 nA=2
277 8358.5 R 1328.8,2131.7 waapi=0 nA=2
278 8375.7 R 1336.8,2142.5 waapi=0 nA=2
279 8391.7 R 1344.6,2152.8 waapi=0 nA=2
280 8408.6 R 1351.2,2161.6 waapi=0 nA=2
281 8425.7 R 1357.5,2170.0 waapi=0 nA=2
282 8441.9 R 1363.3,2177.7 waapi=0 nA=2
283 8458 R 1368.2,2184.3 waapi=0 nA=2
284 8475.4 R 1372.6,2190.2 waapi=0 nA=2
285 8492.4 R 1376.9,2195.8 waapi=0 nA=2
286 8509.1 R 1380.5,2200.7 waapi=0 nA=2
287 8525.7 R 1383.7,2205.0 waapi=0 nA=2
288 8542.3 R 1386.5,2208.6 waapi=0 nA=2
289 8559.1 R 1388.9,2211.8 waapi=0 nA=2
290 8574.7 R 1390.9,2214.6 waapi=0 nA=2
291 8592 R 1392.5,2216.7 waapi=0 nA=2
292 8609.1 R 1394.0,2218.7 waapi=0 nA=2
293 8625.1 R 1395.1,2220.2 waapi=0 nA=2
294 8642.3 R 1395.9,2221.2 waapi=0 nA=2
295 8659 R 1396.5,2222.0 waapi=0 nA=2
296 8675.4 R 1396.8,2222.4 waapi=0 nA=2
297 8692.3 R 1396.9,2222.5 waapi=0 nA=2
298 8709 R 1396.8,2222.3 waapi=0 nA=2
299 8725.4 R 1396.4,2221.8 waapi=0 nA=2
300 8742.4 R 1395.8,2221.1 waapi=0 nA=2
301 8758.6 R 1395.0,2220.1 waapi=0 nA=2
302 8775.6 R 1394.1,2218.8 waapi=0 nA=2
303 8792.2 R 1393.0,2217.3 waapi=0 nA=2
304 8809 R 1391.7,2215.6 waapi=0 nA=2
305 8825.7 R 1390.2,2213.6 waapi=0 nA=2
306 8841.8 R 1388.6,2211.5 waapi=0 nA=2
307 8859 R 1386.9,2209.3 waapi=0 nA=2
308 8875.7 R 1385.0,2206.7 waapi=0 nA=2
309 8892.3 R 1383.0,2203.9 waapi=0 nA=2
310 8909 R 1380.8,2201.1 waapi=0 nA=2
311 8925 R 1378.5,2198.1 waapi=0 nA=2
312 8941.8 R 1376.2,2195.0 waapi=0 nA=2
313 8959.1 R 1373.7,2191.6 waapi=0 nA=2
314 8975.7 R 1371.0,2188.0 waapi=0 nA=2
315 8992.3 R 1368.3,2184.4 waapi=0 nA=2
316 9009.1 R 1365.5,2180.7 waapi=0 nA=2
317 9025.6 R 1362.5,2176.7 waapi=0 nA=2
318 9042.3 R 1359.6,2172.8 waapi=0 nA=2
319 9059 R 1356.5,2168.6 waapi=0 nA=2
320 9075.7 R 1353.3,2164.4 waapi=0 nA=2
321 9092.4   1350.0,2160.0 waapi=0 nA=2
322 9109   1350.0,2160.0 waapi=0 nA=2
323 9125.7   1350.0,2160.0 waapi=0 nA=2
--- seg 393
391 10275.7   1350.0,2160.0 waapi=0 nA=4
392 10292.4   1350.0,2160.0 waapi=0 nA=4
393 10309 R 1350.0,2160.0 waapi=0 nA=4
394 10325.7 R 1350.0,2160.0 waapi=0 nA=4
395 10342.3 R 1411.4,2228.3 waapi=0 nA=4
396 10358.7 R 1470.7,2294.1 waapi=0 nA=4
397 10375.2 R 1527.2,2356.9 waapi=0 nA=4
398 10392.4 R 1581.7,2417.4 waapi=0 nA=4
399 10409 R 1635.7,2477.4 waapi=0 nA=4
400 10425.7 R 1684.9,2532.1 waapi=0 nA=2
401 10442.4 R 1731.4,2583.8 waapi=0 nA=2
402 10459.1 R 1774.9,2632.2 waapi=0 nA=2
403 10475.7 R 1815.5,2677.2 waapi=0 nA=2
404 10491.3 R 1852.9,2718.8 waapi=0 nA=2
405 10509 R 1885.6,2755.1 waapi=0 nA=2
406 10525.6 R 1919.8,2793.1 waapi=0 nA=2
407 10542 R 1949.4,2826.0 waapi=0 nA=2
408 10558.4 R 1976.3,2855.8 waapi=0 nA=2
409 10575.7 R 2001.0,2883.4 waapi=0 nA=2
410 10592.4 R 2025.0,2910.0 waapi=0 nA=2
411 10609 R 2046.3,2933.6 waapi=0 nA=2
412 10625.5 R 2065.6,2955.1 waapi=0 nA=2
413 10642.3 R 2083.2,2974.7 waapi=0 nA=2
414 10659 R 2099.7,2993.0 waapi=0 nA=2
415 10675.2 R 2114.6,3009.6 waapi=0 nA=2
416 10692.2 R 2127.9,3024.3 waapi=0 nA=2
417 10708.9 R 2140.6,3038.4 waapi=0 nA=2
418 10725.3 R 2151.9,3051.0 waapi=0 nA=6
419 10741.7 R 2162.0,3062.2 waapi=0 nA=6
420 10758 R 2171.2,3072.4 waapi=0 nA=6
421 10775.7 R 2179.5,3081.6 waapi=0 nA=6
422 10791.4 R 2187.5,3090.6 waapi=0 nA=6
423 10808.7 R 2194.0,3097.7 waapi=0 nA=6
424 10824.8 R 2200.3,3104.8 waapi=0 nA=6
425 10842.3 R 2205.5,3110.6 waapi=0 nA=6
426 10858.6 R 2210.6,3116.2 waapi=0 nA=6
427 10875.3 R 2214.6,3120.7 waapi=0 nA=6
428 10892.4 R 2218.2,3124.7 waapi=0 nA=6
429 10908.4 R 2221.4,3128.2 waapi=0 nA=6
430 10925.7 R 2223.9,3131.0 waapi=0 nA=4
431 10941.6 R 2226.1,3133.4 waapi=0 nA=4
432 10958.2 R 2227.6,3135.2 waapi=0 nA=4
433 10975.7 R 2228.9,3136.5 waapi=0 nA=4
434 10992.3 R 2229.8,3137.5 waapi=0 nA=4
435 11009 R 2230.2,3138.0 waapi=0 nA=4
436 11025.4 R 2230.3,3138.2 waapi=0 nA=2
437 11041.8 R 2230.1,3137.9 waapi=0 nA=2
438 11059 R 2229.6,3137.3 waapi=0 nA=2
439 11075.7 R 2228.7,3136.3 waapi=0 nA=2
440 11092.2 R 2227.6,3135.1 waapi=0 nA=2
441 11108.7 R 2226.2,3133.5 waapi=0 nA=2
442 11125.1 R 2224.5,3131.7 waapi=0 nA=2
443 11142.3 R 2222.6,3129.5 waapi=0 nA=2
444 11159 R 2220.3,3127.1 waapi=0 nA=2
445 11175.7 R 2217.9,3124.4 waapi=0 nA=2
446 11191.5 R 2215.3,3121.4 waapi=0 nA=2
447 11208.6 R 2212.6,3118.5 waapi=0 nA=2
448 11225.7 R 2209.5,3115.0 waapi=0 nA=2
449 11241.3 R 2206.2,3111.3 waapi=0 nA=2
450 11258.5 R 2203.0,3107.8 waapi=0 nA=2
451 11275.7 R 2199.3,3103.7 waapi=0 nA=2
452 11291.3 R 2195.4,3099.4 waapi=0 nA=2
453 11309 R 2191.8,3095.3 waapi=0 nA=2
454 11325.2 R 2187.4,3090.5 waapi=0 nA=2
455 11342.3 R 2183.3,3085.9 waapi=0 nA=2
456 11359 R 2178.8,3080.9 waapi=0 nA=2
457 11375.7 R 2174.3,3075.9 waapi=0 nA=2
458 11392.3 R 2169.7,3070.8 waapi=0 nA=2
459 11409 R 2164.9,3065.5 waapi=0 nA=2
